0;;36,889
;;
17;40,5;
;;
4;35,9;
;;
10;32,5;
;;
0;22,5;
;;
22;23,4;
;;
5;16,8;
;;
15;16,8;
;;
25;19,1;
;;
1;18,4;
;;
153;25,2;
;;
0;23,5;
;;
12;24,3;
;;
150;38,3;
;;
0;38,3;
;;
63;42,4;
;;
2;42,1;
;;
33;43,9;
;;
13;42,7;
;;
34;46;
;;
5;31,2;
;;
23;33,5;
;;
15;33,8;
;;
42;23;
;;
28;25,8;
;;
36;23,1;
;;
61;29;
;;
50;30,7;
;;
10;30,4;
;;
73;34,3;
;;
4;34,2;
;;
63;38,2;
;;
88;45,5;
;;
5;41,8;
;;
4;39,4;
;;
61;41,9;
;;
38;39,6;
;;
38;38,4;
;;
17;39,1;
;;
4;32,2;
;;
40;35,8;
;;
26;32,1;
;;
9;24,2;
;;
60;29,7;
;;
45;33,8;
;;
53;33;
;;
15;30,7;
;;
4;27,3;
;;
12;26,8;
;;
16;28;
;;
20;26;
;;
8;24,2;
;;
18;25,1;
;;
1;19,2;
;;
46;19,3;
;;
58;19,8;
;;
8;19,1;
;;
41;22,8;
;;
23;23,9;
;;
1;22,4;
;;
54;25,8;
;;
2;25,2;
;;
27;26,1;
;;
7;26,7;
;;
32;25,3;
;;
40;23,5;
;;
72;29,9;
;;
30;28,8;
;;
13;27,8;
;;
28;30,5;
;;
4;25,5;
;;
79;33,2;
;;
155;46;
;;
0;45,3;
;;
19;44;
;;
31;43,1;
;;
44;40,3;
;;
1;37,4;
;;
33;39,4;
;;
44;41;
;;
1;40,7;
;;
36;36,4;
;;
69;27,8;
;;
10;28,8;
;;
12;28,1;
;;
28;27,8;
;;
117;35,1;
;;
30;38;
;;
69;41,6;
;;
8;38;
;;
80;45,9;
;;
11;43,4;
;;
32;39,7;
;;
36;42,3;
;;
165;57,6;
;;
5;55,3;
;;
85;52,1;
;;
68;55,9;
;;
0;49;
;;
12;49,4;
;;
40;45,4;
;;
18;46,1;
;;
5;43,4;
;;
63;46,1;
;;
21;31,7;
;;
8;32;
;;
78;31,3;
;;
9;25,4;
;;
11;26,5;
;;
2;25,5;
;;
55;27;
;;
0;25,2;
;;
9;25,6;
;;
26;21,9;
;;
110;30,8;
;;
17;31,7;
;;
18;25,7;
;;
21;26,9;
;;
106;36,4;
;;
38;40;
;;
1;34,6;
;;
38;38,4;
;;
33;40,8;
;;
75;45,7;
;;
35;38,2;
;;
7;37,2;
;;
7;36,1;
;;
114;45,4;
;;
47;39,5;
;;
23;38;
;;
147;52,6;
;;
42;53;
;;
36;53,3;
;;
30;48,8;
;;
0;45,3;
;;
4;45;
;;
257;70;
;;
20;60,6;
;;
4;56,3;
;;
9;54,9;
;;
18;42;
;;
56;43,4;
;;
2;40;
;;
4;37,4;
;;
63;43,7;
;;
43;47,6;
;;
60;27,9;
;;
63;32,2;
;;
1;31,9;
;;
32;34,2;
;;
166;49;
;;
20;45,4;
;;
7;45,9;
;;
15;47;
;;
45;45,2;
;;
27;43,6;
;;
13;38,9;
;;
26;35,2;
;;
13;36,4;
;;
16;34,8;
;;
91;27,3;
